,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others,MZZONE_A,MZZONE_C,MZZONE_I,MZZONE_RH,MZZONE_RL,MZZONE_RM,YEAR_BUILD,AGE_BUILD,Actual_price,Predicted_price,YEAR_SALE,YEARS_PASSED,Today_price
5492,5,2364,140,4,2,6,2,0,2,2,2.8,2.7,4.6,3.49,1,0,0,0,0,0,0,0,1,1989,22,19823364.999999985,19474612.0,2011,11,33308195
3039,1,1124,112,1,1,3,2,0,3,2,4.9,2.8,2.0,3.11,0,1,0,0,0,0,0,0,1,1965,46,7444271.999999994,7548084.5,2011,11,12909785
2252,3,738,76,1,1,2,5,1,2,2,3.8,3.2,3.5,3.47,0,1,0,0,0,0,1,0,0,1977,32,7890417.999999995,8084494.0,2009,13,15244519
2488,5,2415,128,4,2,6,2,1,3,3,3.0,4.3,3.4,3.55,0,0,1,0,0,0,0,1,0,2000,10,14907750.000000004,14795989.0,2010,12,26571470
4146,1,785,173,1,1,2,5,1,2,2,3.7,4.2,2.7,3.45,0,0,1,0,0,1,0,0,0,1990,22,6865736.0,6956128.5,2012,10,11330800
2161,2,794,75,1,1,2,1,0,3,3,5.0,4.2,4.9,4.79,1,0,0,0,0,0,1,0,0,1976,33,10725429.999999989,10505324.0,2009,13,19809355
751,3,1041,198,1,1,3,2,1,3,3,3.5,3.3,3.9,3.54,1,0,0,0,0,0,0,0,1,1970,40,14420291.00000001,14434865.0,2010,12,25922943
1282,6,1574,78,1,1,4,1,0,1,3,2.5,2.8,2.0,2.375,0,1,0,0,0,0,0,1,0,1980,31,11443816.99999999,11514669.0,2011,11,19693991
5118,5,1416,157,2,1,4,4,0,3,3,3.4,2.1,2.7,2.73,0,1,0,0,0,0,1,0,0,2002,8,8978054.99999999,9171929.0,2010,12,16471466
1745,1,896,107,1,1,3,4,1,3,1,3.9,2.9,3.1,3.28,1,0,0,1,0,0,0,0,0,2002,10,7056417.000000004,7435018.0,2012,10,12110860
3832,7,1934,183,2,1,5,3,0,3,3,4.6,3.2,4.6,4.25,0,1,0,0,0,0,0,0,1,1985,26,14763478.00000001,14611957.0,2011,11,24991405
354,7,1818,193,2,1,5,4,1,3,3,4.2,2.3,3.9,3.59,1,0,0,0,0,0,0,0,1,1975,32,22861679.99999997,23381482.0,2007,15,48608421
1736,4,1535,93,2,1,4,1,1,3,3,2.7,2.6,2.7,2.66,1,0,0,0,0,0,0,1,0,1965,40,14780323.99999999,15381610.0,2005,17,35254931
325,5,1929,84,3,2,5,4,0,2,2,4.1,2.5,3.1,3.22,0,0,1,0,0,0,1,0,0,1978,30,10703026.99999999,11152995.0,2008,14,22082167
